id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
296,Интегрированная безопасность,Integrovaná bezpečnosť,,3,,0,1,79,26,,,
297,Интегрированная безопасность,Integrovaná bezpečnosť,,2,,0,3,79,26,,,
298,Интеллектуальные информационные системы,Inteligentné informačné systémy,,2,,0,3,39,22,,,
299,Интеллектуальные программные системы,Inteligentné softvérové systémy,,2,,0,3,24,22,,,
300,Интеллектуальные системы,Inteligentné systémy,,2,,0,3,19,22,,,
301,Интеллектуальные системы,Inteligentné systémy,,3,,0,1,19,22,,,
302,Интеллектуальные технологии в промышленности,Inteligentné technológie v priemysle,,2,,0,3,52,20,,,
303,Интермедия,Intermédiá,,4,,0,1,116,1,,,
304,Информатика,Informatika,,3,,0,1,19,22,,,
305,Информатика,Informatika,,2,,0,3,19,22,,,
306,Информатика,Informatika,,4,,0,1,24,22,,,
307,Информатика,Informatika,,3,,0,1,24,22,,,
308,Информатика,Informatika,,2,,0,4,28,22,,,
309,Информатика,Informatika,,3,,0,1,28,22,,,
310,Информатика,Informatika,,3,,0,1,39,22,,,
311,Информатика,Informatika,,2,,0,4,95,22,,,
312,Информатика,Informatika,,3,,0,1,95,22,,,
313,Информатика и управление,Informatika a riadenie,,3,,0,1,39,22,,,
314,Информационная безопасность,Informačná bezpečnosť,,2,,0,3,24,22,,,
315,Информационные и коммуникационные технологии,Informačné a komunikačné technológie,,3,,0,1,18,22,,,
316,Информационные и сетевые технологии,Informačné a sieťové technológie,,3,,0,1,39,22,,,
317,Информационные исследования,Informačné štúdiá,,3,,0,1,66,12,,,
318,Информационные исследования,Informačné štúdiá,,2,,0,4,66,12,,,
319,Информационные исследования - музеология,Informačné štúdiá - muzeológia,,3,,0,1,66,12,7,,
320,Информационные системы,Informačné systémy,,2,,0,3,39,22,,,
321,Информационные системы в государственном управлении,Informačné systémy vo verejnej správe,,3,,0,1,51,16,,,
322,Информационный менеджмент,Informačný manažment,,2,,0,3,21,2,,,
323,Информационный менеджмент,Informačný manažment,,2,,0,3,39,2,,,
324,Искусство интерпретации,Interpretačné umenie,,2,,0,2,31,1,,,
325,Искусство интерпретации,Interpretačné umenie,,3,,0,1,31,1,,,
326,Испанский язык и культура,Španielsky jazyk a kultúra (v kombinácii),,2,,1,4,66,3,,,
327,Испанский язык и культура,Španielsky jazyk a kultúra (v kombinácii),,3,,1,1,66,3,,,
328,Использование альтернативных источников энергии,Využívanie alternatívnych zdrojov energie,,3,,0,1,9,15,,,
